Question,Answer
What are the sources of modern Indian history?,"The sources of modern Indian history include material, written, and oral sources, as well as modern technological sources like audio, video, and audio-visual materials."
What are material sources of history?,"Material sources include objects, monuments, places, coins, and sculptures. Examples are buildings, bridges, and forts from the British period, such as the Cellular Jail in Andaman."
What information can be obtained from museums?,"Museums preserve historical objects, paintings, and documents that provide insights into historical events, such as the Aga Khan Palace in Pune, which has artifacts related to Mahatma Gandhi."
What role do statues and memorials play in history?,"Statues and memorials commemorate historical figures and events, providing information about their contributions, such as the statues of Lokmanya Tilak and Dr. Babasaheb Ambedkar."
What are written sources of history?,"Written sources include newspapers, periodicals, biographies, autobiographies, factory records, and correspondence, which offer detailed insights into historical events and societal changes."
How do maps serve as sources of history?,"Maps created during different periods, like those by the British Survey of India, help trace the development of regions and understand historical changes."
What are oral sources of history?,"Oral sources include folk songs, Powadas, inspirational songs, and narrations, which provide insights into cultural and historical events."
What technological sources are used in modern history?,"Technological sources include photographs, recordings, films, and audio-visual materials, which document historical events with greater accuracy."
Why are photographs important as historical sources?,"Photographs offer visual documentation of people, events, and structures, providing reliable evidence compared to paintings."
What is a Powada?,"A Powada is a traditional form of Marathi ballad that narrates historical events or the work of notable individuals, often used to inspire and inform."
What was the Renaissance?,"The Renaissance, from the 13th to 16th century in Europe, was a period of revival in art, science, and humanism, marking the transition from the medieval to the modern era."
What impact did the printing press have during the Renaissance?,"The printing press, invented by Johannes Gutenberg, enabled widespread dissemination of ideas, knowledge, and literature, reaching all sections of society."
What was the Religious Reform Movement?,"It was a movement that challenged the corruption and rituals of the Roman Catholic Church, emphasizing rationalism and human freedom."
Why were new trade routes needed in the 15th century?,"The Ottoman Turks' conquest of Constantinople in 1453 blocked traditional overland trade routes between Asia and Europe, prompting the search for alternative sea routes."
Who was Vasco-da-Gama?,"Vasco-da-Gama was a Portuguese sailor who reached Calicut, India, in 1498, establishing a direct sea route between Europe and India."
What was the American War of Independence?,The American War of Independence (1775–1783) was a struggle where the thirteen American colonies gained independence from British rule.
What were the main ideals of the French Revolution?,"The French Revolution, beginning in 1789, promoted the ideals of liberty, equality, and fraternity, inspiring democratic movements worldwide."
What is colonialism?,"Colonialism refers to the practice where a powerful country exploits and controls another country, often establishing colonies."
